order_id,date,region,state,store_id,customer_id,customer_segment,product_category,product_subcategory,units_sold,unit_price,discount,shipping_cost,payment_method,sales_channel,order_status
ORD-103626,2023-01-01,North,North Dakota,NO-02,CUST-01709,Consumer,Electronics,Smartphones,2,160.09,0.0,7.99,PayPal,Online,Completed
ORD-104129,2023-01-01,South,Florida,SO-03,CUST-01574,Consumer,Beauty & Health,Wellness,3,53.22,0.1,0.0,Credit Card,In-Store,Completed
ORD-102604,2023-01-01,South,Georgia,SO-02,CUST-00999,Consumer,Home Goods,Decor,3,244.06,0.25,0.0,Gift Card,In-Store,Completed
ORD-104151,2023-01-01,West,Oregon,WE-01,CUST-00033,Home Office,Home Goods,Furniture,7,296.57,0.2,0.0,Debit Card,In-Store,Cancelled
ORD-102902,2023-01-01,East,New York,EA-03,CUST-00999,Consumer,Electronics,Laptops,1,382.84,0.05,12.99,Credit Card,Online,Completed
ORD-104978,2023-01-01,South,Florida,SO-04,CUST-01604,Home Office,Home Goods,Decor,3,266.95,0.2,0.0,Credit Card,In-Store,Completed
ORD-104725,2023-01-01,North,Wisconsin,NO-04,CUST-01139,Consumer,Apparel,Accessories,3,93.9,0.25,0.0,Debit Card,In-Store,Completed
ORD-104776,2023-01-01,West,California,WE-01,CUST-00690,Consumer,Books,Non-Fiction,2,12.33,0.05,0.0,Cash,In-Store,Cancelled
ORD-102714,2023-01-02,East,Massachusetts,EA-03,CUST-00592,Consumer,Apparel,Women's Wear,2,29.58,0.0,0.0,PayPal,Online,Returned
ORD-103217,2023-01-02,Central,Ohio,CE-03,CUST-00346,Consumer,Electronics,Laptops,4,248.85,0.15,0.0,Debit Card,In-Store,Returned
ORD-102911,2023-01-02,Central,Illinois,CE-01,CUST-01424,Consumer,Electronics,Laptops,2,1120.77,0.0,0.0,Cash,In-Store,Completed
ORD-102327,2023-01-02,South,Florida,SO-02,CUST-00851,Consumer,Electronics,Headphones,3,402.25,0.0,4.99,Credit Card,Online,Completed
ORD-101921,2023-01-03,East,New York,EA-04,CUST-01163,Consumer,Home Goods,Decor,5,480.26,0.0,0.0,Cash,In-Store,Completed
ORD-102632,2023-01-04,West,Oregon,WE-03,CUST-01785,Consumer,Apparel,Kids' Wear,4,71.38,0.0,0.0,Credit Card,Online,Completed
ORD-102611,2023-01-04,East,New Jersey,EA-03,CUST-00934,Home Office,Sporting Goods,Fitness Equipment,3,261.95,0.05,0.0,Credit Card,In-Store,Completed
ORD-104411,2023-01-04,West,California,WE-01,CUST-00754,Corporate,Sporting Goods,Outdoor Gear,2,274.06,0.0,12.99,Credit Card,Online,Completed
ORD-100208,2023-01-05,North,Minnesota,NO-02,CUST-00664,Home Office,Books,Comics,2,30.48,0.0,0.0,Debit Card,Online,Completed
ORD-103317,2023-01-05,South,Texas,SO-03,CUST-01479,Consumer,Beauty & Health,Haircare,3,29.67,0.0,0.0,Debit Card,In-Store,Completed
ORD-100821,2023-01-05,North,Wisconsin,NO-05,CUST-00569,Consumer,Electronics,Cameras,2,313.27,0.05,4.99,Credit Card,Online,Completed
ORD-101901,2023-01-05,Central,Missouri,CE-01,CUST-01291,Consumer,Sporting Goods,Footwear,2,50.15,0.0,7.99,Credit Card,Online,Completed
ORD-101426,2023-01-05,North,Wisconsin,NO-03,CUST-00368,Home Office,Apparel,Accessories,5,55.33,0.0,7.99,Debit Card,Online,Completed
ORD-101168,2023-01-06,South,Georgia,SO-02,CUST-00672,Consumer,Apparel,Men's Wear,3,103.33,0.1,0.0,Credit Card,In-Store,Completed
ORD-100072,2023-01-06,North,Minnesota,NO-04,CUST-00577,Consumer,Home Goods,Decor,2,196.84,0.05,12.99,Credit Card,Online,Completed
ORD-103912,2023-01-06,North,Minnesota,NO-02,CUST-01025,Consumer,Home Goods,Storage,4,443.78,0.0,4.99,PayPal,Online,Returned
ORD-104900,2023-01-06,South,Florida,SO-02,CUST-00015,Corporate,Books,Non-Fiction,4,25.84,0.0,0.0,Credit Card,Online,Completed
ORD-105339,2023-01-06,North,Minnesota,NO-03,CUST-00675,Corporate,Books,Non-Fiction,3,14.72,0.2,0.0,PayPal,Online,Completed
ORD-102294,2023-01-06,North,Wisconsin,NO-01,CUST-01103,Consumer,Electronics,Smart Home,7,735.95,0.0,7.99,Credit Card,Online,Returned
ORD-101483,2023-01-06,East,New York,EA-03,CUST-00472,Home Office,Apparel,Accessories,3,38.74,0.15,12.99,Cash,Online,Completed
ORD-101515,2023-01-07,West,Oregon,WE-04,CUST-01129,Consumer,Electronics,Smart Home,4,294.7,0.05,0.0,Cash,In-Store,Completed
ORD-100128,2023-01-07,South,Texas,SO-01,CUST-00647,Consumer,Apparel,Accessories,2,39.36,0.15,0.0,PayPal,In-Store,Completed
ORD-105862,2023-01-07,West,Oregon,WE-05,CUST-00260,Corporate,Beauty & Health,Makeup,4,43.32,0.15,0.0,PayPal,In-Store,Completed
ORD-105947,2023-01-07,Central,Illinois,CE-01,CUST-01332,Home Office,Home Goods,Decor,2,257.78,0.0,7.99,Credit Card,Online,Returned
ORD-103744,2023-01-07,West,California,WE-01,CUST-01294,Corporate,Apparel,Footwear,3,63.79,0.1,0.0,Debit Card,In-Store,Completed
ORD-102295,2023-01-07,East,New Jersey,EA-02,CUST-00090,Consumer,Home Goods,Bedding,1,136.02,0.2,0.0,Credit Card,Online,Completed
ORD-105235,2023-01-07,East,New York,EA-01,CUST-00857,Consumer,Electronics,Laptops,5,660.41,0.1,0.0,PayPal,Online,Cancelled
ORD-104770,2023-01-07,South,Texas,SO-05,CUST-00242,Consumer,Beauty & Health,Haircare,5,29.68,0.15,4.99,Gift Card,Online,Completed
ORD-104503,2023-01-07,West,Washington,WE-03,CUST-00687,Consumer,Apparel,Women's Wear,4,150.0,0.0,12.99,PayPal,Online,Completed
ORD-102761,2023-01-08,West,Oregon,WE-02,CUST-01190,Consumer,Electronics,Laptops,2,432.02,0.0,12.99,Credit Card,Online,Completed
ORD-105383,2023-01-08,East,New Jersey,EA-05,CUST-00049,Consumer,Apparel,Kids' Wear,3,27.41,0.05,12.99,PayPal,Online,Completed
